Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"436720000","327200","3281","583.2"
"437579000","327200","3281","583.5"
"438572000","327200","3281","584.3"
"439686000","327200","3281","584.7"
"440685000","327200","3281","585.4"
"441544000","327200","3281","585.8"
"442537000","327200","3281","586.1"
"443396000","327200","3281","586.9"
"444644000","327200","3281","587.3"
"445503000","327200","3281","588.0"
"446496000","327200","3281","588.4"
"447355000","327200","3281","589.2"
"448348000","327200","3281","589.5"
"449463000","327200","3281","590.3"
"450457000","327200","3281","590.6"
"451321000","327200","3281","591.0"
"452314000","327200","3281","591.8"
"453172000","327200","3281","592.1"
"454362000","327200","3281","592.9"
"455278000","327200","3281","593.2"
"456270000","327200","3281","594.0"
"457130000","327200","3281","594.4"
"458123000","327200","3281","595.1"
"459237000","327200","3281","595.5"
"460231000","168800","3281","596.2"
"461094000","168800","3281","596.6"
"462087000","168800","3282","597.0"
"462947000","168800","3282","597.7"
"464195000","168800","3282","598.1"
"465055000","168800","3282","598.9"
"466048000","168800","3282","599.2"
"466907000","168800","3282","600.0"
"467900000","168800","3282","600.3"
"469015000","168800","3282","601.1"
"470009000","168800","3282","601.5"
"470878000","168800","3282","601.8"
"471871000","168800","3282","602.6"
"472730000","168800","3282","603.0"
"473978000","168800","3282","603.7"
"474836000","168800","3282","604.1"
"475830000","168800","3282","604.8"
"476689000","168800","3282","605.2"
"477682000","168800","3282","606.0"
"478796000","168800","3281","606.3"
"479790000","168800","3281","607.1"
"480654000","168800","3282","607.4"
"481648000","168800","3282","608.2"
"482506000","168800","3282","608.6"
"483754000","168800","3282","609.3"
"484613000","168800","3282","609.7"
"485606000","168800","3282","610.4"
"486465000","168800","3282","610.8"
"487458000","168800","3282","611.2"
"488572000","168800","3282","611.9"
"489565000","168800","3282","612.3"
"490423000","168800","3282","613.1"
"491422000","168800","3282","613.4"
"492281000","168800","3282","614.2"
"493530000","168800","3282","614.5"
"494389000","168800","3282","615.3"
"495382000","168800","3282","615.7"
"496240000","168800","3281","616.0"
"497234000","168800","3281","616.8"
"498348000","168800","3281","617.1"
"499342000","168800","3281","617.9"
"500200000","168800","3281","618.3"
"501199000","168800","3281","619.0"
"502058000","168800","3281","619.4"
"503307000","168800","3281","620.1"
"504165000","168800","3281","620.5"
"505158000","168800","3282","621.3"
"506016000","168800","3282","621.6"
"507010000","168800","3281","622.4"
"508123000","168800","3282","622.8"
"509116000","168800","3282","623.5"
"509975000","168800","3282","623.9"
"510973000","168800","3281","624.2"
"511832000","168800","3281","625.0"
"513085000","168800","3281","625.8"
"513944000","168800","3281","626.1"
"514937000","168800","3281","626.5"
"515796000","168800","3281","627.3"
"516789000","168800","3281","627.6"
"517902000","168800","3281","628.4"
"518896000","168800","3281","628.7"
"519754000","168800","3281","629.1"
"520753000","168800","3281","629.9"
"521611000","168800","3281","630.2"
"522859000","168800","3281","631.0"
"523717000","168800","3281","631.3"
"524711000","168800","3281","632.1"
"525570000","168800","3281","632.5"
"526563000","168800","3281","633.2"
"527676000","168800","3281","633.6"
"528670000","168800","3281","634.3"
"529527000","168800","3281","634.7"
"530526000","168800","3281","635.5"
"531384000","168800","3281","635.8"
"532633000","168800","3281","636.6"
"533491000","168800","3281","637.0"
"534484000","168800","3281","637.7"
"535344000","168800","3281","638.1"
"536337000","168800","3281","638.4"
"537451000","168800","3281","639.2"
"538444000","168800","3281","639.6"
"539303000","168800","3281","640.3"
"540297000","168800","3281","640.7"
"541161000","168800","3281","641.0"
"542409000","168800","3281","641.8"
"543267000","168800","3281","642.2"
"544261000","168300","3281","642.9"
"545119000","168300","3281","643.3"
"546112000","168300","3281","644.1"
"547168000","168300","3281","644.4"
"548218000","168300","3281","645.2"
"549077000","168300","3281","645.5"
"550069000","168300","3281","646.3"
"550934000","168300","3281","646.7"
"552183000","168300","3281","647.4"
"553042000","168300","3281","647.8"
"554035000","168300","3281","648.5"
"554898000","168300","3281","648.9"
"555891000","168300","3281","649.3"
"557004000","168300","3281","650.0"
"557998000","168300","3281","650.4"
"558856000","168300","3281","651.2"
"559849000","168300","3281","651.5"
"560714000","168300","3281","651.9"
"561963000","168300","3281","652.6"
"562822000","168300","3281","653.4"
"563815000","168300","3281","653.8"
"564674000","168300","3281","654.1"
"565667000","168300","3281","654.9"
"566723000","168300","3281","655.2"
"567775000","168300","3281","656.0"
"568635000","168300","3281","656.4"
"569627000","168300","3281","657.1"
"570492000","168300","3281","657.5"
"571740000","168300","3281","658.2"
"572599000","168300","3281","658.6"
"573591000","168300","3281","659.4"
"574450000","168300","3281","659.7"
"575443000","168300","3281","660.5"
"576557000","168300","3281","660.8"
"577550000","168300","3281","661.6"
"578409000","168300","3281","662.0"
"579402000","168300","3281","662.3"
"580260000","168300","3281","663.1"
"581515000","168300","3281","663.9"
"582373000","168300","3281","664.2"
"583366000","168300","3281","664.6"
"584224000","168300","3281","665.4"
"585217000","168300","3281","665.7"
