Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"299832000","523400","3274","21694.4"
"301180000","523400","3274","21696.7"
"302274000","523400","3274","21698.6"
"303366000","523400","3274","21700.6"
"304459000","523400","3274","21702.5"
"305552000","523400","3274","21704.5"
"306901000","523400","3274","21706.8"
"307993000","523400","3274","21708.4"
"309086000","523400","3274","21710.3"
"310183000","523400","3274","21712.3"
"311276000","523400","3274","21714.2"
"312625000","523400","3274","21716.5"
"313718000","523400","3274","21718.5"
"314811000","523400","3274","21720.4"
"315904000","523400","3274","21722.4"
"316997000","523400","3274","21723.9"
"318345000","523600","3274","21726.3"
"319449000","523600","3274","21728.2"
"320541000","523600","3274","21730.2"
"321634000","523600","3274","21732.1"
"322726000","523600","3274","21734.1"
"324074000","523600","3274","21736.4"
"325168000","523600","3274","21738.3"
"326260000","523600","3274","21740.3"
"327354000","523600","3274","21741.8"
"328447000","523600","3274","21743.8"
"329801000","523600","3274","21746.1"
"330893000","523600","3274","21748.1"
"331986000","523600","3274","21750.0"
"333079000","523600","3274","21752.0"
"334172000","523600","3274","21753.9"
"335520000","523600","3274","21756.3"
"336613000","523600","3274","21758.2"
"337707000","523600","3274","21759.8"
"338799000","523600","3274","21761.7"
"339897000","523600","3274","21763.6"
"341245000","523600","3274","21766.0"
"342338000","523600","3274","21767.9"
"343431000","523600","3274","21769.9"
"344524000","523600","3274","21771.8"
"345617000","523600","3274","21773.8"
"346965000","523400","3274","21775.7"
"348059000","523400","3274","21777.7"
"349151000","523400","3274","21779.6"
"350249000","523400","3274","21781.6"
"351341000","523400","3274","21783.5"
"352690000","523400","3274","21785.8"
"353783000","523400","3274","21787.8"
"354876000","523400","3274","21789.7"
"355969000","523400","3274","21791.7"
"357062000","523400","3274","21793.6"
"358411000","523400","3274","21795.6"
"359509000","523400","3274","21797.5"
"360603000","523400","3274","21799.5"
"361700000","523400","3274","21801.4"
"362793000","523400","3274","21803.4"
"364141000","523400","3274","21805.7"
"365234000","523400","3274","21807.6"
"366327000","523400","3274","21809.6"
"367420000","523400","3274","21811.1"
"368512000","523400","3274","21813.1"
"369867000","523400","3274","21815.4"
"370959000","523400","3274","21817.4"
"372052000","523400","3274","21819.3"
"373145000","523400","3274","21821.3"
"374238000","523400","3274","21823.2"
"375586000","527700","3274","21825.5"
"376679000","527700","3274","21827.5"
"377772000","527700","3275","21829.0"
"378866000","527700","3275","21831.0"
"379965000","527700","3275","21832.9"
"381314000","527700","3275","21835.3"
"382406000","527700","3274","21837.2"
"383499000","527700","3274","21839.2"
"384592000","527700","3274","21841.1"
"385685000","527700","3274","21843.1"
"387033000","527700","3274","21845.0"
"388125000","527700","3274","21847.0"
"389218000","527700","3274","21848.9"
"390316000","527700","3274","21850.8"
"391408000","527700","3274","21852.8"
"392757000","527700","3274","21855.1"
"393850000","527700","3274","21857.1"
"394943000","527700","3274","21859.0"
"396036000","527700","3274","21860.6"
"397129000","527700","3274","21862.5"
"398477000","527700","3274","21864.9"
"399575000","527700","3274","21866.8"
"400668000","527700","3274","21868.8"
"401761000","527700","3274","21870.7"
"402859000","527700","3274","21872.6"
"404207000","523400","3274","21875.0"
"405300000","523400","3274","21876.9"
"406393000","523400","3274","21878.5"
"407486000","523400","3274","21880.4"
"408578000","523400","3274","21882.4"
"409932000","523400","3274","21884.7"
"411024000","523400","3274","21886.7"
"412117000","523400","3274","21888.6"
"413211000","523400","3274","21890.6"
"414304000","523400","3274","21892.5"
"415653000","523400","3274","21894.8"
"416747000","523400","3274","21896.8"
"417840000","523400","3274","21898.3"
"418933000","523400","3274","21900.3"
"420032000","523400","3274","21902.2"
"421380000","523400","3274","21904.6"
"422473000","523400","3274","21906.5"
"423566000","523400","3274","21908.5"
"424658000","523400","3274","21910.4"
"425752000","523400","3274","21912.4"
"427100000","523400","3274","21914.3"
"428194000","523400","3274","21916.2"
"429286000","523400","3274","21918.2"
