Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"326136000","3370200","3275","3700.5"
"327229000","3370200","3276","3712.9"
"328321000","3370200","3276","3725.2"
"329414000","3370200","3275","3737.5"
"330511000","3370200","3275","3749.8"
"331860000","3387500","3276","3764.5"
"332952000","3387500","3276","3776.8"
"334045000","3387500","3275","3789.2"
"335138000","3387500","3275","3801.5"
"336230000","3387500","3276","3813.4"
"337578000","3390600","3276","3828.5"
"338672000","3390600","3275","3840.8"
"339769000","3390600","3275","3852.7"
"340862000","3390600","3276","3865.1"
"341954000","3390600","3275","3877.4"
"343302000","3366000","3276","3892.1"
"344394000","3366000","3276","3904.4"
"345487000","3366000","3276","3916.7"
"346579000","3366000","3275","3928.6"
"347672000","3366000","3275","3941.0"
"349020000","3391300","3275","3956.1"
"350118000","3391300","3275","3968.4"
"351210000","3391300","3275","3980.3"
"352302000","3391300","3275","3992.6"
"353395000","3391300","3275","4004.9"
"354743000","3387500","3275","4020.0"
"355836000","3387500","3275","4032.0"
"356928000","3387500","3276","4044.3"
"358024000","3387500","3276","4056.6"
"359117000","3387500","3275","4068.9"
"360469000","3364900","3275","4083.6"
"361562000","3364900","3275","4095.9"
"362653000","3364900","3275","4108.3"
"363746000","3364900","3275","4120.2"
"364838000","3364900","3275","4132.5"
"366188000","3390600","3276","4147.6"
"367281000","3390600","3275","4159.9"
"368373000","3390600","3275","4171.8"
"369466000","3390600","3276","4184.2"
"370564000","3390600","3276","4196.5"
"371912000","3386700","3276","4211.6"
"373005000","3386700","3275","4223.9"
"374097000","3386700","3276","4235.8"
"375190000","3386700","3276","4248.2"
"376283000","3386700","3276","4260.5"
"377631000","3369400","3275","4275.2"
"378724000","3369400","3276","4287.5"
"379821000","3369400","3276","4299.8"
"380915000","3369400","3276","4311.7"
"382007000","3369400","3276","4324.1"
"383355000","3387100","3276","4339.2"
"384448000","3387100","3276","4351.1"
"385540000","3387100","3276","4363.4"
"386634000","3387100","3276","4375.7"
"387726000","3387100","3276","4388.0"
"389075000","3368300","3276","4402.7"
"390172000","3368300","3276","4415.1"
"391265000","3368300","3276","4427.4"
"392358000","3368300","3276","4439.7"
"393450000","3368300","3276","4452.0"
"394798000","3387900","3276","4466.7"
"395891000","3387900","3276","4479.0"
"396984000","3387900","3276","4491.4"
"398076000","3387900","3276","4503.3"
"399169000","3387900","3276","4515.6"
"400527000","3384100","3276","4530.7"
"401619000","3384100","3276","4543.0"
"402712000","3384100","3276","4554.9"
"403804000","3384100","3276","4567.3"
"404896000","3384100","3276","4579.2"
"406243000","3370900","3276","4594.3"
"407336000","3370900","3276","4606.6"
"408428000","3370900","3276","4618.9"
"409521000","3370900","3276","4630.8"
"410619000","3370900","3276","4643.2"
"411967000","3387100","3276","4658.3"
"413060000","3387100","3276","4670.6"
"414152000","3387100","3276","4682.9"
"415245000","3387100","3276","4694.8"
"416338000","3387100","3276","4707.1"
"417685000","3390900","3276","4722.2"
"418778000","3390900","3276","4734.2"
"419876000","3390900","3276","4746.5"
"420969000","3390900","3276","4758.8"
"422061000","3390900","3276","4771.1"
"423410000","3365600","3276","4785.8"
"424502000","3365600","3276","4798.2"
"425595000","3365600","3276","4810.5"
"426687000","3365600","3276","4822.4"
"427780000","3365600","3276","4834.7"
"429128000","3390900","3276","4849.8"
"430225000","3390900","3276","4861.7"
"431318000","3390900","3276","4874.1"
"432411000","3390900","3276","4886.4"
"433503000","3390900","3276","4898.7"
"434851000","3366400","3276","4913.4"
"435944000","3366400","3276","4925.7"
"437037000","3366400","3276","4938.0"
"438129000","3366400","3276","4950.0"
"439221000","3366400","3275","4962.3"
"440574000","3387900","3275","4977.4"
"441671000","3387900","3275","4989.7"
"442764000","3387900","3275","5001.6"
"443857000","3387900","3275","5013.9"
"444948000","3387900","3275","5026.3"
"446296000","3367100","3275","5041.0"
"447389000","3367100","3275","5053.3"
"448482000","3367100","3275","5065.6"
"449574000","3367100","3275","5077.9"
"450673000","3367100","3275","5089.8"
"452020000","3387100","3275","5104.9"
"453114000","3387100","3275","5117.3"
"454207000","3387100","3275","5129.6"
"455299000","3387100","3275","5141.5"
"456391000","3387100","3275","5153.8"
"457740000","3389800","3275","5168.9"
"458832000","3389800","3275","5181.2"
"459930000","3389800","3275","5193.2"
"461023000","3389800","3275","5205.5"
"462116000","3389800","3275","5217.8"
"463462000","3367100","3275","5232.5"
"464556000","3367100","3275","5244.8"
"465648000","3367100","3275","5257.1"
"466741000","3367100","3275","5269.1"
"467834000","3367100","3275","5281.4"
"469182000","3389800","3275","5296.5"
"470279000","3389800","3275","5308.8"
"471372000","3389800","3275","5321.1"
"472464000","3389800","3275","5333.1"
"473557000","3389800","3275","5345.4"
"474905000","3387900","3275","5360.5"
"475997000","3387900","3275","5372.8"
"477091000","3387900","3275","5384.7"
"478184000","3387900","3275","5397.0"
"479276000","3387900","3275","5409.4"
"480630000","3365200","3275","5424.1"
"481723000","3365200","3275","5436.4"
"482815000","3365200","3275","5448.7"
"483912000","3365200","3275","5461.0"
"485005000","3365200","3275","5472.9"
"486353000","3388300","3275","5488.0"
"487445000","3388300","3275","5500.4"
"488538000","3388300","3275","5512.3"
"489636000","3388300","3275","5524.6"
"490728000","3388300","3275","5536.9"
"492076000","3387500","3275","5552.0"
"493168000","3387500","3275","5563.9"
"494261000","3387500","3275","5576.3"
"495353000","3387500","3275","5588.6"
"496445000","3387500","3275","5600.9"
"497794000","3369800","3275","5615.6"
"498887000","3369800","3275","5627.9"
"499985000","3369800","3275","5640.2"
"501076000","3369800","3275","5652.2"
"502169000","3369800","3275","5664.5"
"503517000","3387500","3275","5679.6"
"504610000","3387500","3275","5691.5"
"505702000","3387500","3275","5703.8"
"506795000","3387500","3275","5716.1"
"507887000","3387500","3275","5728.1"
"509235000","3370200","3275","5743.2"
"510333000","3370200","3275","5755.5"
"511426000","3370200","3275","5767.8"
"512518000","3370200","3275","5780.1"
"513610000","3370200","3275","5792.0"
"514959000","3387100","3276","5807.2"
"516051000","3387100","3276","5819.5"
"517144000","3387100","3275","5831.8"
"518236000","3387100","3275","5843.7"
"519328000","3387100","3276","5856.0"
"520682000","3387900","3275","5871.1"
"521774000","3387900","3275","5883.5"
"522867000","3387900","3275","5895.4"
"523960000","3387900","3275","5907.7"
"525082000","3387900","3275","5920.0"
"526431000","3372400","3275","5935.1"
"527523000","3372400","3276","5947.4"
"528616000","3372400","3276","5959.8"
"529714000","3372400","3275","5972.1"
"530807000","3372400","3275","5984.0"
"532155000","3387100","3276","5999.1"
"533248000","3387100","3275","6011.4"
"534339000","3387100","3275","6023.7"
"535432000","3387100","3275","6035.7"
"536524000","3387100","3275","6048.0"
"537873000","3390900","3275","6063.1"
"538964000","3390900","3275","6075.0"
"540063000","3390900","3275","6087.3"
"541155000","3390900","3275","6099.6"
"542248000","3390900","3275","6112.0"
"543596000","3366800","3275","6126.7"
"544688000","3366800","3276","6139.0"
"545780000","3366800","3275","6151.3"
"546874000","3366800","3275","6163.6"
"547965000","3366800","3275","6175.5"
"549314000","3390600","3276","6190.6"
"550412000","3390600","3276","6203.0"
"551504000","3390600","3275","6215.3"
"552596000","3390600","3275","6227.6"
"553689000","3390600","3275","6239.5"
"555037000","3387900","3276","6254.6"
"556129000","3387900","3276","6266.9"
"557221000","3387900","3276","6279.3"
"558314000","3387900","3276","6291.2"
"559405000","3387900","3276","6303.5"
"560760000","3387900","3276","6318.6"
"561852000","3387900","3276","6330.9"
"562945000","3387900","3276","6342.8"
"564038000","3387900","3276","6355.2"
"565130000","3387900","3276","6367.5"
"566477000","3369800","3275","6382.2"
"567574000","3369800","3275","6394.5"
"568668000","3369800","3276","6406.8"
"569765000","3369800","3276","6419.1"
"570857000","3369800","3275","6431.5"
"572205000","3384800","3275","6446.2"
"573298000","3384800","3275","6458.5"
"574390000","3384800","3275","6470.8"
"575484000","3384800","3275","6482.7"
"576576000","3384800","3275","6495.1"
"577923000","3390900","3275","6510.2"
"579016000","3390900","3275","6522.5"
"580113000","3390900","3275","6534.4"
"581206000","3390900","3275","6546.7"
"582298000","3390900","3275","6559.0"
"583645000","3367100","3275","6573.7"
"584738000","3367100","3275","6586.1"
"585831000","3367100","3275","6598.4"
"586924000","3367100","3275","6610.7"
"588017000","3367100","3275","6622.6"
"589364000","3390200","3275","6637.7"
"590463000","3390200","3275","6650.0"
"591555000","3390200","3275","6662.4"
"592647000","3390200","3275","6674.3"
"593739000","3390200","3275","6686.6"
"595088000","3387500","3276","6701.7"
"596181000","3387500","3276","6714.0"
"597274000","3387500","3275","6725.9"
"598366000","3387500","3276","6738.3"
"599459000","3387500","3276","6750.6"
"600812000","3387100","3275","6765.7"
"601905000","3387100","3275","6777.6"
"602997000","3387100","3276","6789.9"
"604090000","3387100","3276","6802.2"
"605181000","3387100","3276","6814.2"
"606531000","3369400","3276","6829.3"
"607622000","3369400","3275","6841.6"
"608715000","3369400","3276","6853.9"
"609817000","3369400","3276","6866.2"
"610909000","3369400","3276","6878.1"
"612257000","3385600","3275","6893.2"
"613350000","3385600","3276","6905.6"
"614443000","3385600","3276","6917.9"
"615536000","3385600","3276","6929.8"
"616628000","3385600","3276","6942.1"
"617977000","3389800","3276","6957.2"
"619069000","3389800","3275","6969.6"
"620166000","3389800","3275","6981.5"
"621260000","3389800","3276","6993.8"
"622353000","3389800","3276","7006.1"
"623700000","3366400","3276","7020.8"
"624794000","3366400","3276","7033.1"
"625886000","3366400","3276","7045.5"
"626979000","3366400","3276","7057.8"
"628070000","3366400","3276","7069.7"
"629419000","3390600","3276","7084.8"
"630517000","3390600","3276","7097.1"
"631610000","3390600","3276","7109.4"
"632701000","3390600","3276","7121.8"
"633795000","3390600","3275","7133.7"
"635142000","3387500","3276","7148.8"
"636235000","3387500","3276","7161.1"
"637327000","3387500","3276","7173.0"
"638420000","3387500","3276","7185.3"
"639513000","3387500","3276","7197.7"
"640867000","3387100","3276","7212.8"
"641958000","3387100","3276","7224.7"
"643052000","3387100","3276","7237.0"
"644143000","3387100","3276","7249.3"
"645236000","3387100","3276","7261.2"
"646584000","3369800","3276","7276.3"
"647676000","3369800","3276","7288.7"
"648769000","3369800","3276","7301.0"
"649868000","3369800","3276","7312.9"
"650964000","3369800","3276","7325.2"
"652312000","3384800","3276","7340.3"
"653405000","3384800","3276","7352.6"
"654498000","3384800","3276","7365.0"
"655590000","3384800","3276","7376.9"
"656684000","3384800","3276","7389.2"
"658031000","3390200","3276","7404.3"
"659124000","3390200","3276","7416.2"
"660222000","3390200","3276","7428.5"
"661315000","3390200","3276","7440.9"
"662407000","3390200","3276","7453.2"
"663756000","3366000","3276","7467.9"
"664847000","3366000","3276","7480.2"
"665940000","3366000","3276","7492.5"
"667032000","3366000","3276","7504.4"
"668124000","3366000","3276","7516.8"
"669471000","3392500","3276","7531.9"
"670569000","3392500","3276","7544.2"
"671661000","3392500","3275","7556.1"
"672753000","3392500","3276","7568.4"
"673846000","3392500","3276","7580.8"
"675195000","3387100","3276","7595.9"
"676287000","3387100","3276","7607.8"
"677380000","3387100","3276","7620.1"
"678472000","3387100","3276","7632.4"
"679565000","3387100","3276","7644.7"
"680917000","3367100","3276","7659.4"
"682010000","3367100","3276","7671.8"
"683101000","3367100","3276","7684.1"
"684194000","3367100","3276","7696.0"
"685286000","3367100","3276","7708.3"
"686634000","3391300","3276","7723.4"
"687727000","3391300","3276","7735.7"
"688820000","3391300","3276","7747.7"
"689918000","3391300","3276","7760.0"
"691011000","3391300","3276","7772.3"
"692359000","3386700","3276","7787.4"
"693456000","3386700","3276","7799.7"
"694548000","3386700","3276","7811.6"
"695641000","3386700","3276","7824.0"
"696733000","3386700","3276","7836.3"
"698081000","3367500","3276","7851.0"
"699174000","3367500","3276","7863.3"
"700271000","3367500","3276","7875.6"
"701364000","3367500","3276","7887.5"
"702456000","3367500","3276","7899.9"
