Time(ms),Voltage(V),Power(Watt) 
4160,1.1279,0.0057828
4174,1.1719,0.0062422
4188,1.1865,0.0063993
4202,1.1719,0.0062422
4215,1.1084,0.0055843
4230,1.1426,0.005934
4244,1.123,0.0057329
4257,0.039063,6.9358e-06
4270,1.1182,0.0056831
4283,1.123,0.0057329
4297,1.1768,0.0062944
4311,1.123,0.0057329
4325,1.1426,0.005934
4339,1.1084,0.0055843
4353,1.2256,0.0068275
4367,1.2158,0.0067192
4380,1.1572,0.0060872
4395,1.1377,0.0058834
4409,1.1768,0.0062944
4422,1.0986,0.0054863
4436,1.1768,0.0062944
4450,1.123,0.0057329
4464,1.1963,0.006505
4478,1.1719,0.0062422
4492,1.1572,0.0060872
4506,0.019531,1.734e-06
4517,1.1523,0.0060359
4532,1.1621,0.0061386
4546,1.1475,0.0059848
4559,1.1768,0.0062944
4574,1.1865,0.0063993
4587,1.1133,0.0056336
4601,1.1719,0.0062422
4616,1.1279,0.0057828
4629,1.1621,0.0061386
4643,1.0938,0.0054377
4657,0.029297,3.9014e-06
4669,1.1621,0.0061386
4682,1.0986,0.0054863
4697,1.1377,0.0058834
4711,1.167,0.0061903
4724,1.1768,0.0062944
4739,1.0791,0.005293
4752,1.1816,0.0063467
4766,1.2012,0.0065582
4781,1.2207,0.0067733
4794,1.1426,0.005934
4808,1.1475,0.0059848
4822,1.2061,0.0066117
4836,1.123,0.0057329
4850,1.1963,0.006505
4864,1.1719,0.0062422
4878,1.1865,0.0063993
4891,1.1621,0.0061386
4905,1.1084,0.0055843
4920,1.1572,0.0060872
4933,1.1816,0.0063467
4947,1.1426,0.005934
4961,1.1523,0.0060359
4975,1.1621,0.0061386
4989,1.1719,0.0062422
5003,1.1377,0.0058834
5017,1.1475,0.0059848
5030,1.1816,0.0063467
5045,1.2012,0.0065582
5059,1.1523,0.0060359
5072,1.1182,0.0056831
5087,1.1523,0.0060359
5100,1.0938,0.0054377
5114,1.1963,0.006505
5129,1.1816,0.0063467
5142,1.1914,0.006452
5156,1.0938,0.0054377
5170,1.1475,0.0059848
5184,1.1572,0.0060872
5198,1.1279,0.0057828
5212,1.0791,0.005293
5226,0.30273,0.00041658
5238,1.1768,0.0062944
5253,1.1572,0.0060872
5266,1.1768,0.0062944
5280,1.1719,0.0062422
5295,1.1279,0.0057828
5308,1.1475,0.0059848
5322,1.0742,0.0052452
5336,1.1719,0.0062422
5350,1.1475,0.0059848
5364,1.04,0.0049167
5378,1.1572,0.0060872
5392,1.1426,0.005934
5405,1.1572,0.0060872
5420,1.1426,0.005934
5434,1.1572,0.0060872
5447,1.1914,0.006452
5462,0.28809,0.00037724
5474,1.1621,0.0061386
5488,1.1377,0.0058834
5502,1.1572,0.0060872
5516,1.1572,0.0060872
5530,1.1816,0.0063467
5543,1.0791,0.005293
5558,1.1768,0.0062944
5572,1.1865,0.0063993
5585,1.1865,0.0063993
5600,1.0889,0.0053892
5613,1.1719,0.0062422
5627,1.2012,0.0065582
5642,1.1523,0.0060359
5655,1.123,0.0057329
5669,1.1816,0.0063467
5683,1.1572,0.0060872
5697,1.167,0.0061903
5711,1.1377,0.0058834
5725,1.1328,0.005833
5739,1.2109,0.0066653
5752,1.2061,0.0066117
5767,1.1523,0.0060359
5781,1.1133,0.0056336
5794,1.1768,0.0062944
5809,1.1377,0.0058834
5822,1.2012,0.0065582
5836,0.78613,0.0028091
5851,1.2305,0.0068821
5864,1.123,0.0057329
5878,1.123,0.0057329
5892,0.12207,6.7733e-05
5905,1.167,0.0061903
5918,1.1279,0.0057828
5933,1.1279,0.0057828
5947,1.1914,0.006452
5960,1.1768,0.0062944
5975,1.2109,0.0066653
5988,1.1523,0.0060359
6002,1.1328,0.005833
6017,1.2012,0.0065582
6030,1.1719,0.0062422
6044,1.1182,0.0056831
6057,1.1768,0.0062944
6072,1.0938,0.0054377
6086,1.1279,0.0057828
6099,1.1621,0.0061386
6114,1.1865,0.0063993
6127,1.2061,0.0066117
6141,1.1816,0.0063467
6156,1.084,0.005341
6169,1.1426,0.005934
6183,1.1963,0.006505
6197,1.1035,0.0055352
6211,1.1328,0.005833
6225,1.1572,0.0060872
6239,1.1621,0.0061386
6253,1.1133,0.0056336
6266,1.1475,0.0059848
6281,1.1621,0.0061386
6295,1.2256,0.0068275
6308,1.1865,0.0063993
6323,0.28809,0.00037724
6335,1.2012,0.0065582
6349,1.1768,0.0062944
6364,1.1426,0.005934
6377,0.03418,5.3102e-06
6389,1.1328,0.005833
6403,1.1475,0.0059848
6417,1.1328,0.005833
6430,1.1719,0.0062422
6445,1.1719,0.0062422
6459,1.1768,0.0062944
6472,1.1523,0.0060359
6487,1.1035,0.0055352
6500,1.1963,0.006505
6514,1.1572,0.0060872
6529,1.1475,0.0059848
6542,1.1084,0.0055843
6556,1.123,0.0057329
6569,1.1426,0.005934
6584,1.167,0.0061903
6598,1.0938,0.0054377
6611,1.1768,0.0062944
6626,1.2012,0.0065582
6639,1.1475,0.0059848
6653,1.1523,0.0060359
6668,1.1719,0.0062422
6681,1.1768,0.0062944
6695,1.2012,0.0065582
6709,1.1328,0.005833
6723,1.1084,0.0055843
6737,1.1182,0.0056831
6751,1.1719,0.0062422
6765,1.1572,0.0060872
6778,1.1426,0.005934
6793,1.1865,0.0063993
6807,1.1572,0.0060872
6820,1.1865,0.0063993
6835,1.1572,0.0060872
6848,1.1816,0.0063467
6862,1.1914,0.006452
6877,1.1719,0.0062422
6890,1.1475,0.0059848
6904,1.2012,0.0065582
6918,1.1182,0.0056831
6932,1.1182,0.0056831
6946,1.1084,0.0055843
6960,1.1279,0.0057828
6974,1.1719,0.0062422
6987,1.1426,0.005934
7002,1.1279,0.0057828
7016,0.33203,0.00050111
7028,1.1377,0.0058834
7043,1.0986,0.0054863
7056,1.0889,0.0053892
7070,0.043945,8.7781e-06
7081,1.1621,0.0061386
7096,1.1279,0.0057828
7110,1.167,0.0061903
7123,1.1572,0.0060872
7138,1.1328,0.005833
7151,1.1377,0.0058834
7165,1.1963,0.006505
7180,1.2109,0.0066653
7193,1.2012,0.0065582
7207,1.1279,0.0057828
7221,1.1719,0.0062422
7235,1.167,0.0061903
7249,1.1523,0.0060359
7263,1.0693,0.0051976
7277,1.1621,0.0061386
7290,1.1914,0.006452
7305,1.1816,0.0063467
7319,1.0986,0.0054863
7332,1.1426,0.005934
7347,1.1963,0.006505
7360,1.1816,0.0063467
7374,1.1279,0.0057828
7389,1.1475,0.0059848
