Time.s,Voltage.V,Power.Watt,Energy.J
2.941,0.32227,0.00047207,0.001371550064565
2.954,0.0048828,0.00000010837,0.00137461922397
2.966,0.31738,0.00045787,0.00137736709419
2.978,0.30273,0.00041658,0.00138261379419
2.992,0.33203,0.00050111,0.00138903762419
3.005,0.32227,0.00047207,0.00139536329419
3.017,0.31738,0.00045787,0.00140094293419
3.031,0.33691,0.00051596,0.00140775974419
3.043,0.32227,0.00047207,0.00141368792419
3.067,0.32227,0.00047207,0.00142501760419
3.081,0.33691,0.00051596,0.00143193381419
3.094,0.31738,0.00045787,0.00143826370919
3.106,0.32715,0.00048648,0.00144392980919
3.12,0.3418,0.00053102,0.00145105230919
3.132,0.31738,0.00045787,0.00145698564919
3.145,0.35156,0.0005618,0.00146361350419
3.158,0.31738,0.00045787,0.00147024135919
3.171,0.31738,0.00045787,0.00147619366919
3.184,0.3418,0.00053102,0.00148262145419
3.196,0.33203,0.00050111,0.00148881423419
3.21,0.32715,0.00048648,0.00149572736419
3.222,0.32715,0.00048648,0.00150156512419
3.235,0.29785,0.00040325,0.00150734836919
3.249,0.30762,0.00043013,0.00151318202919
3.261,0.32227,0.00047207,0.00151859522919
3.274,0.32715,0.00048648,0.00152482580419
3.287,0.3125,0.00044389,0.00153087320919
3.3,0.32227,0.00047207,0.00153682694919
3.312,0.3418,0.00053102,0.00154284548919
3.325,0.33691,0.00051596,0.00154965085919
3.339,0.33203,0.00050111,0.00155677034919
3.351,0.32227,0.00047207,0.00156260942919
3.364,0.32227,0.00047207,0.00156874633919
3.389,0.32227,0.00047207,0.00158054808919
3.401,0.31738,0.00045787,0.00158612772919
3.415,0.32715,0.00048648,0.00159273817919
3.428,0.31738,0.00045787,0.00159887645419
3.44,0.31738,0.00045787,0.00160437089419
3.453,0.0097656,0.00000043349,0.001607349866875
3.465,0.32227,0.00047207,0.001610184887815
3.478,0.32227,0.00047207,0.001616321797815
3.49,0.32715,0.00048648,0.001622073097815
3.504,0.32715,0.00048648,0.001628883817815
3.517,0.32227,0.00047207,0.001635114392815
3.529,0.32227,0.00047207,0.001640779232815
3.543,0.32227,0.00047207,0.001647388212815
3.555,0.30762,0.00043013,0.001652801412815
3.568,0.33691,0.00051596,0.001658950997815
3.581,0.33203,0.00050111,0.001665561952815
3.594,0.32715,0.00048648,0.001671981287815
