Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"365730000","309500","3275","378.1",""
"366834000","309500","3275","379.3",""
"367736000","309500","3276","380.4",""
"368580000","309500","3276","381.2",""
"369424000","309500","3275","381.9",""
"370267000","309500","3276","383.1",""
"371361000","309500","3276","384.2",""
"372263000","309500","3276","385.0",""
"373106000","309500","3276","385.7",""
"373950000","309500","3276","386.9",""
"374794000","309500","3276","387.6",""
"375887000","309500","3276","388.8",""
"376795000","310000","3276","389.5",""
"377638000","310000","3276","390.3",""
"378482000","310000","3276","391.5",""
"379325000","310000","3276","392.2",""
"380419000","310000","3276","393.4",""
"381319000","310000","3276","394.1",""
"382163000","310000","3276","395.3",""
"383006000","310000","3276","396.0",""
"383849000","310000","3276","396.8",""
"384943000","310000","3275","397.9",""
"385845000","310000","3275","398.7",""
"386694000","310000","3275","399.8",""
"387536000","310000","3275","400.6",""
"388381000","310000","3275","401.3",""
"389474000","310000","3275","402.5",""
"390374000","310000","3275","403.6",""
"391218000","310000","3275","404.4",""
"392061000","310000","3275","405.2",""
"392904000","310000","3275","405.9",""
"393997000","310000","3275","407.1",""
"394899000","310000","3275","408.2",""
"395742000","310000","3275","409.0",""
"396592000","310000","3274","409.7",""
"397435000","310000","3274","410.9",""
"398528000","310000","3275","411.6",""
"399430000","310000","3275","412.8",""
"400274000","310000","3275","413.5",""
"401117000","310000","3274","414.3",""
"401961000","310000","3275","415.4",""
"403054000","310000","3275","416.6",""
"403956000","310000","3275","417.3",""
"404800000","310000","3274","418.1",""
"405644000","310000","3275","419.3",""
"406493000","310000","3275","420.0",""
"407579000","310000","3275","421.2",""
"408493000","310000","3275","421.9",""
"409337000","310000","3275","423.1",""
"410180000","310000","3275","423.8",""
"411023000","310000","3275","424.6",""
"412116000","310000","3275","425.7",""
"413018000","310000","3275","426.5",""
"413861000","310000","3275","427.6",""
"414705000","310000","3275","428.4",""
"415549000","310000","3275","429.1",""
"416648000","310000","3275","430.3",""
"417549000","310000","3275","431.4",""
"418393000","310000","3275","432.2",""
"419237000","310000","3275","433.0",""
"420080000","310000","3274","433.7",""
"421174000","310000","3274","434.9",""
"422075000","310000","3274","436.0",""
"422918000","310000","3274","436.8",""
"423762000","309600","3274","437.5",""
"424605000","309600","3274","438.7",""
"425699000","309600","3274","439.4",""
"426605000","309600","3274","440.6",""
"427449000","309600","3274","441.3",""
"428292000","309600","3274","442.1",""
"429136000","309600","3274","443.2",""
"430230000","309600","3274","444.4",""
"431132000","309600","3274","445.1",""
"431975000","309600","3274","445.9",""
"432818000","309600","3274","447.1",""
"433662000","309600","3274","447.8",""
"434755000","309600","3275","449.0",""
"435656000","309600","3274","449.7",""
"436505000","309600","3275","450.9",""
"437349000","309600","3275","451.6",""
"438192000","309600","3275","452.4",""
"439286000","309600","3275","453.5",""
"440188000","309600","3275","454.3",""
"441031000","309600","3275","455.4",""
"441875000","309600","3275","456.2",""
"442718000","309600","3275","457.0",""
"443812000","309600","3275","458.1",""
"444713000","309600","3275","458.8",""
"445556000","309600","3275","460.0",""
"446406000","309600","3275","460.8",""
"447249000","309600","3275","461.5",""
"448342000","309600","3275","462.7",""
"449243000","309600","3275","463.8",""
"450092000","309600","3275","464.6",""
"450936000","309600","3275","465.3",""
"451779000","309600","3275","466.1",""
"452873000","309600","3275","467.2",""
"453774000","309600","3275","468.4",""
"454619000","309600","3275","469.1",""
"455463000","309600","3275","469.9",""
"456312000","309600","3275","471.1",""
"457405000","309600","3275","472.2",""
"458307000","309600","3275","472.9",""
"459150000","309600","3275","473.7",""
"459994000","309600","3275","474.9",""
"460838000","309600","3275","475.6",""
"461931000","309600","3275","476.8",""
"462832000","309600","3275","477.5",""
"463676000","309600","3275","478.3",""
"464519000","309600","3275","479.4",""
"465364000","309600","3275","480.2",""
"466461000","309600","3275","481.3",""
"467364000","309600","3275","482.1",""
"468207000","309600","3275","483.2",""
"469051000","309600","3275","484.0",""
"469894000","309600","3275","484.8",""
"470987000","310400","3275","485.9",""
"471889000","310400","3275","486.7",""
"472733000","310400","3275","487.8",""
"473576000","310400","3275","488.6",""
"474420000","310400","3275","489.3",""
"475513000","310400","3275","490.5",""
"476420000","310400","3275","491.6",""
"477263000","310400","3275","492.4",""
"478107000","310400","3275","493.1",""
"478950000","310400","3275","493.9",""
"480043000","310400","3274","495.0",""
"480944000","310400","3274","496.2",""
"481788000","310400","3274","496.9",""
"482631000","310400","3274","497.7",""
"483474000","310400","3274","498.9",""
"484559000","310400","3274","499.6",""
"485469000","310400","3274","500.8",""
"486318000","310400","3274","501.5",""
"487161000","310400","3274","502.3",""
"488004000","310400","3274","503.4",""
"489098000","310400","3274","504.6",""
"489998000","310400","3274","505.3",""
"490842000","310400","3274","506.1",""
"491690000","310400","3274","507.2",""
"492534000","310400","3274","508.0",""
"493620000","310400","3274","509.1",""
"494530000","310400","3274","509.9",""
"495373000","310400","3274","510.6",""
"496223000","310400","3274","511.8",""
"497067000","310400","3274","512.6",""
"498160000","310400","3274","513.7",""
"499062000","310400","3274","514.5",""
"499905000","310400","3274","515.6",""
"500749000","310400","3274","516.4",""
"501593000","310400","3274","517.1",""
"502685000","310400","3274","518.3",""
"503587000","310400","3274","519.4",""
"504431000","310400","3274","520.2",""
"505275000","310400","3274","520.9",""
"506125000","310400","3274","521.7",""
"507218000","310400","3274","522.8",""
"508119000","310400","3274","524.0",""
"508962000","310400","3274","524.7",""
"509806000","310400","3274","525.5",""
"510650000","310400","3274","526.7",""
"511744000","310400","3274","527.4",""
"512645000","310400","3274","528.6",""
"513489000","310400","3274","529.3",""
"514333000","310400","3274","530.1",""
"515176000","310400","3274","531.2",""
"516276000","310400","3274","532.4",""
"517178000","310400","3274","533.1",""
"518022000","309100","3274","533.9",""
"518865000","309100","3274","535.0",""
"519709000","309100","3274","535.8",""
"520802000","309100","3274","536.9",""
"521703000","309100","3274","537.7",""
"522547000","309100","3274","538.4",""
"523390000","309100","3274","539.6",""
"524234000","309100","3274","540.4",""
"525328000","309100","3275","541.5",""
"526233000","309100","3275","542.3",""
"527077000","309100","3275","543.4",""
"527920000","309100","3275","544.2",""
"528765000","309100","3275","544.9",""
"529858000","309100","3275","546.1",""
"530759000","309100","3275","546.8",""
"531603000","309100","3275","548.0",""
"532447000","309100","3275","548.7",""
"533291000","309100","3275","549.5",""
"534389000","309100","3275","550.6",""
"535290000","309100","3275","551.8",""
"536139000","309100","3275","552.5",""
"536983000","309100","3275","553.3",""
"537826000","309100","3275","554.5",""
"538920000","309100","3275","555.2",""
"539822000","309100","3275","556.4",""
"540665000","309100","3275","557.1",""
"541509000","309100","3274","557.9",""
"542352000","309100","3274","559.0",""
"543446000","309100","3274","560.2",""
"544347000","309100","3275","560.9",""
"545191000","309100","3275","561.7",""
"546034000","309100","3275","562.8",""
"546884000","309100","3275","563.6",""
"547977000","309100","3275","564.7",""
"548878000","309100","3275","565.5",""
"549721000","309100","3274","566.2",""
"550566000","309100","3274","567.4",""
"551409000","309100","3274","568.2",""
"552503000","309100","3275","569.3",""
"553404000","309100","3275","570.1",""
"554247000","309100","3275","571.2",""
"555091000","309100","3275","572.0",""
"555934000","309100","3275","572.7",""
"557033000","309100","3275","573.9",""
"557935000","309100","3275","574.6",""
"558778000","309100","3275","575.8",""
"559622000","309100","3275","576.5",""
"560466000","309100","3275","577.3",""
"561551000","309100","3274","578.4",""
"562459000","309100","3275","579.6",""
"563303000","309100","3275","580.3",""
"564147000","309100","3275","581.1",""
"564991000","309600","3274","581.9",""
"566084000","309600","3274","583.0",""
"566991000","309600","3274","584.2",""
"567834000","309600","3274","584.9",""
"568678000","309600","3274","585.7",""
"569520000","309600","3274","586.8",""
"570614000","309600","3274","587.6",""
"571515000","309600","3274","588.7",""
"572358000","309600","3274","589.5",""
"573202000","309600","3274","590.2",""
"574046000","309600","3274","591.4",""
"575140000","309600","3274","592.5",""
"576047000","309600","3274","593.3",""
"576896000","309600","3274","594.0",""
"577741000","309600","3274","595.2",""
"578584000","309600","3274","596.0",""
"579678000","309600","3274","597.1",""
"580578000","309600","3274","597.9",""
"581422000","309600","3274","599.0",""
"582267000","309600","3274","599.8",""
"583111000","309600","3274","600.5",""
"584204000","309600","3274","601.7",""
"585106000","309600","3274","602.4",""
"585949000","309600","3274","603.6",""
"586798000","309600","3274","604.3",""
"587643000","309600","3274","605.1",""
"588736000","309600","3274","606.2",""
"589637000","309600","3274","607.4",""
"590480000","309600","3274","608.2",""
"591324000","309600","3274","608.9",""
"592167000","309600","3274","609.7",""
"593261000","309600","3274","610.8",""
"594162000","309600","3274","612.0",""
"595006000","309600","3274","612.7",""
"595849000","309600","3274","613.5",""
"596698000","309600","3274","614.6",""
"597792000","309600","3274","615.4",""
"598693000","309600","3274","616.5",""
"599537000","309600","3274","617.3",""
"600380000","309600","3274","618.0",""
"601225000","309600","3274","619.2",""
"602318000","309600","3274","620.3",""
"603220000","309600","3274","621.1",""
"604064000","309600","3274","621.9",""
"604907000","309600","3274","623.0",""
"605751000","309600","3274","623.8",""
"606850000","309600","3274","624.9",""
"607751000","309600","3274","625.7",""
"608595000","309600","3274","626.4",""
"609438000","309600","3274","627.6",""
"610283000","309600","3275","628.3",""
"611376000","309600","3275","629.5",""
"612278000","310000","3275","630.2",""
"613122000","310000","3275","631.4",""
"613966000","310000","3275","632.1",""
"614809000","310000","3275","632.9",""
"615902000","310000","3275","634.0",""
"616809000","310000","3275","635.2",""
"617657000","310000","3275","636.0",""
